project_type,budget,planned_duration_days,worker_count,task_count,location_type,has_subcontractors,snapshot_progress_pct,actual_cost_at_snapshot,cpi,spi,delayed_task_count,delayed_task_ratio,labour_ratio,material_ratio,months_elapsed,budget_used_pct,schedule_efficiency,overrun_pct
1,99630113.81,1452,33,143,0,1,83.17,115118134.02,0.7198,0.8973,26,0.1799,0.3061,0.4011,40,115.55,2.0793,30.5059
2,41857209.57,260,59,30,2,1,70.87,23692195.07,1.2521,0.8305,14,0.4612,0.2984,0.6359,6,56.6,11.8124,38.0938
1,106082207.56,1428,35,142,0,1,80.06,122762324.1,0.6918,0.9542,2,0.0151,0.3605,0.4049,38,115.72,2.1068,38.5682
2,623885728.91,409,121,53,1,1,74.27,473261000.74,0.979,1.0967,23,0.4283,0.2235,0.5624,10,75.86,7.4268,66.6663
1,24258504.96,552,36,74,0,1,88.09,16491734.49,1.2957,0.7869,18,0.2458,0.4157,0.4129,16,67.98,5.5054,7.6442
1,442441114.45,2373,147,239,0,1,72.56,367161154.56,0.8744,0.9403,25,0.1033,0.2886,0.523,57,82.99,1.273,6.196
1,30940322.0,1247,10,123,2,1,39.78,16259243.14,0.7571,0.9516,2,0.016,0.212,0.5059,16,52.55,2.4865,38.9216
2,214934133.09,1293,42,133,2,1,89.68,152310085.32,1.2656,1.0818,1,0.0038,0.2378,0.5763,38,70.86,2.3601,-20.0
1,226047070.65,1289,75,128,0,1,60.25,110410653.43,1.2334,0.9764,8,0.0622,0.3437,0.4596,25,48.84,2.4098,-14.8376
1,66829941.43,1206,22,123,2,1,80.31,57570931.24,0.9322,0.9801,1,0.0079,0.2582,0.53,32,86.15,2.5096,2.0658
2,140415281.97,354,104,45,1,1,70.07,84662706.59,1.1622,1.0652,13,0.2913,0.3191,0.6305,8,60.29,8.7592,20.8848
2,616369843.32,418,67,55,0,1,62.26,300128532.27,1.2787,0.7989,13,0.2447,0.2538,0.5577,8,48.69,7.7831,46.7578
2,49093804.79,1263,20,129,1,1,80.54,65529860.32,0.6034,0.8058,33,0.2536,0.2589,0.5366,33,133.48,2.4406,55.2346
1,36683848.0,1245,12,128,0,1,63.44,27344022.65,0.8511,1.1198,0,0.0,0.3424,0.525,26,74.54,2.44,12.5592
2,170972019.01,893,83,114,1,1,83.64,133480557.81,1.0713,1.2182,66,0.5807,0.243,0.536,24,78.07,3.4848,45.7962
