project_type,budget,planned_duration_days,worker_count,task_count,location_type,has_subcontractors,overrun_pct,final_cost,state,psc_code,data_source
1,1936534993.61,2565,500,260,0,1,0.0,1936534993.61,MI,Y1KA,USASpending.gov
2,1870679349.39,846,374,85,0,1,-0.7218,1857177427.39,AZ,Y1LB,USASpending.gov
1,1100727120.07,2587,366,260,0,1,0.0,1100727120.07,TX,Y1DA,USASpending.gov
2,962898274.94,630,192,67,0,1,0.0,962898274.94,AZ,Y1LB,USASpending.gov
1,779877216.22,2501,259,250,0,1,-1.2866,769843658.22,MO,Y1AA,USASpending.gov
1,767752737.03,1993,255,201,0,1,0.0,767752737.03,FL,Y1KA,USASpending.gov
1,727726763.2,2055,242,207,0,1,0.0,727726763.2,MD,Y1AA,USASpending.gov
1,1350091538.49,2029,450,206,0,1,-20.0,711062728.06,MD,Y1AA,USASpending.gov
1,698061227.99,1818,232,180,0,1,0.0,698061227.99,,Y1AA,USASpending.gov
1,685131614.13,3408,228,340,0,1,0.0,685131614.13,,Y1AA,USASpending.gov
1,626386701.0,1533,208,157,0,1,-1.0947,619529701.0,TX,Y1DA,USASpending.gov
1,616467976.41,2224,205,222,1,1,0.0,616467976.41,NE,Y1AA,USASpending.gov
1,614652572.45,2118,204,211,0,1,0.0,614652572.45,,Y1AA,USASpending.gov
1,548859111.59,957,182,97,0,1,0.0,548859111.59,CO,Y1AA,USASpending.gov
2,565330939.0,2783,113,279,1,1,-3.6011,544973075.6,DC,Y1JA,USASpending.gov
1,663187402.0,2634,221,263,0,1,-20.0,523319834.0,MD,Y1DA,USASpending.gov
2,450073674.0,2506,90,253,0,1,0.0,450073674.0,NY,Y1LB,USASpending.gov
1,442441114.45,2373,147,239,0,1,-0.0408,442260483.69,,Y1AA,USASpending.gov
1,407152291.0,1296,135,128,2,1,-0.1532,406528597.0,AL,Y1AA,USASpending.gov
1,405028868.38,2128,135,213,2,1,0.0,405028868.38,KY,Y1KA,USASpending.gov
1,376452420.97,2579,125,260,0,1,0.0,376452420.97,,Y1AA,USASpending.gov
1,365959470.37,2153,121,218,0,1,0.0,365959470.37,,Y1AA,USASpending.gov
1,345290949.0,1906,115,189,0,1,0.0,345290949.0,CA,Y1AA,USASpending.gov
1,337777831.58,2385,112,239,0,1,0.0,337777831.58,CA,Y1KA,USASpending.gov
2,326935352.43,1451,65,147,0,1,-0.0147,326887353.43,TX,Y1LB,USASpending.gov
1,327392296.61,1702,109,168,0,1,-0.1834,326791985.4,CA,Y1KB,USASpending.gov
1,321962568.0,1663,107,167,0,1,0.0,321962568.0,,Y1AA,USASpending.gov
1,319382955.0,2443,106,243,0,1,0.0,319382955.0,MO,Y1DA,USASpending.gov
2,316735461.08,2027,63,205,1,1,0.0,316735461.08,VA,Y1LB,USASpending.gov
1,307160344.67,1788,102,180,0,1,-0.0,307160338.67,,Y1AA,USASpending.gov
1,287649031.79,2032,95,204,0,1,-0.5992,285925393.79,MA,Y1DB,USASpending.gov
1,279663837.15,1923,93,190,1,1,-0.7609,277535837.15,KS,Y1KB,USASpending.gov
1,272869179.83,1648,90,162,0,1,0.0,272869179.83,CA,Y1DB,USASpending.gov
1,316432547.0,2367,105,236,0,1,-14.2457,271354541.0,NY,Y1DB,USASpending.gov
1,274302548.0,2021,91,202,0,1,-1.2658,270830548.0,MD,Y1DB,USASpending.gov
1,268215569.46,1773,89,181,0,1,0.0,268215569.46,,Y1AA,USASpending.gov
2,413297776.0,487,82,47,0,1,-20.0,261032494.0,AZ,Y1LB,USASpending.gov
2,290283521.67,1461,58,147,0,1,-10.3769,260161221.67,CA,Y1LB,USASpending.gov
1,241203860.4,1787,80,179,0,1,0.0,241203860.4,,Y1AA,USASpending.gov
2,238752888.06,1348,47,138,0,1,0.0,238752888.06,TX,Y1LB,USASpending.gov
1,236537391.12,791,78,82,0,1,0.0,236537391.12,,Y1AA,USASpending.gov
1,244089450.2,3362,81,339,0,1,-3.2145,236243158.2,CA,Y1DA,USASpending.gov
1,233375733.0,3366,77,340,0,1,-0.154,233016272.52,MD,Y1DA,USASpending.gov
2,232387238.65,498,46,52,2,1,0.0,232387238.65,NM,Y1LB,USASpending.gov
1,232027041.14,3380,77,338,0,1,0.0,232027041.14,,Y1AA,USASpending.gov
1,229683588.61,2409,76,241,0,1,0.0,229683588.61,,Y1AA,USASpending.gov
1,228140685.14,1799,76,183,0,1,-0.0577,228009133.02,,Y1AA,USASpending.gov
1,228824960.57,2261,76,227,0,1,-0.3671,227984960.57,FL,Y1KB,USASpending.gov
1,227007508.37,1487,75,146,0,1,0.0,227007508.37,,Y1AA,USASpending.gov
1,226047070.65,1289,75,128,0,1,-0.1948,225606734.52,CO,Y1DA,USASpending.gov
2,226125571.45,1235,45,125,1,1,-1.7586,222148961.45,MP,Y1NA,USASpending.gov
1,221114401.0,1909,73,190,0,1,0.0,221114401.0,GA,Y1AA,USASpending.gov
2,214934133.09,1293,42,133,2,1,0.0,214934133.09,AK,Y1LB,USASpending.gov
1,212588735.23,1397,70,141,0,1,0.0,212588735.23,FL,Y1AA,USASpending.gov
1,212547453.0,1208,70,118,0,1,0.0,212547453.0,TX,Y1DA,USASpending.gov
1,210833038.0,1743,70,178,0,1,0.0,210833038.0,CA,Y1DB,USASpending.gov
1,209025585.0,1357,69,134,0,1,-0.0,209025584.0,MD,Y1AA,USASpending.gov
1,205916462.35,1236,68,124,0,1,0.0,205916462.35,,Y1AA,USASpending.gov
2,201451160.83,2398,40,237,1,1,0.0,201451160.83,VA,Y1LB,USASpending.gov
1,198562205.0,1045,66,105,2,0,0.0,198562205.0,AL,Y1AA,USASpending.gov
1,195042326.31,2099,65,212,0,1,0.0,195042326.31,,Y1AA,USASpending.gov
1,191636225.0,1510,63,150,0,1,0.0,191636225.0,,Y1AA,USASpending.gov
1,187669691.03,2499,62,248,0,1,0.0,187669691.03,,Y1AA,USASpending.gov
1,185555771.62,1907,61,188,0,1,0.0,185555771.62,,Y1AA,USASpending.gov
1,348587197.51,2468,116,245,2,1,-20.0,182598153.19,AL,Y1AA,USASpending.gov
2,180191262.95,424,36,44,0,1,-1.6649,177191262.95,TX,Y1LB,USASpending.gov
1,177680609.4,2247,59,223,0,1,-0.6292,176562670.0,NY,Y1DB,USASpending.gov
1,174938781.24,2236,58,224,0,1,0.0,174938781.24,,Y1AA,USASpending.gov
1,174162502.4,2650,58,266,0,1,0.0,174162502.4,,Y1AA,USASpending.gov
2,175268932.5,1850,35,189,1,1,-1.2315,173110572.21,VA,Y1LB,USASpending.gov
1,174806169.0,1138,58,114,0,1,-1.0215,173020569.0,TX,Y1KB,USASpending.gov
1,171630572.0,1740,57,178,0,1,0.0,171630572.0,CA,Y1DA,USASpending.gov
1,172386736.08,965,57,97,0,1,-0.7151,171153928.08,TX,Y1KB,USASpending.gov
